City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
215,Surab,28.4914,66.2585,43.66,49,6,1.7,PK,2022-01-30 01:26:10,clear sky
216,Atar,20.5169,-13.0499,72.32,24,97,6.69,MR,2022-01-30 01:17:14,overcast clouds
217,Kodiak,57.79,-152.4072,35.11,55,0,12.66,US,2022-01-30 01:26:11,clear sky
218,Marovoay,-16.1,46.6333,77.14,87,2,1.7,MG,2022-01-30 01:26:11,clear sky
219,Leningradskiy,69.3833,178.4167,-10.43,91,51,4.76,RU,2022-01-30 01:26:11,broken clouds
220,Bilibino,68.0546,166.4372,-0.98,88,100,2.57,RU,2022-01-30 01:17:45,overcast clouds
221,Ambon,-3.6954,128.1814,87.94,62,40,10.36,ID,2022-01-30 01:24:36,scattered clouds
222,Sulangan,11.1373,123.7228,81.01,76,42,4.47,PH,2022-01-30 01:26:12,scattered clouds
223,Salto,-31.3833,-57.9667,73.87,59,0,4.0,UY,2022-01-30 01:26:12,clear sky
224,Presidencia Roque Saenz Pena,-26.7852,-60.4388,76.03,36,0,6.29,AR,2022-01-30 01:26:13,clear sky
225,Antalaha,-14.9003,50.2788,71.71,89,100,5.28,MG,2022-01-30 01:26:13,overcast clouds
226,Jablah,35.3614,35.9256,48.49,61,20,4.61,SY,2022-01-30 01:26:13,few clouds
227,Makakilo City,21.3469,-158.0858,78.69,57,40,9.22,US,2022-01-30 01:17:39,scattered clouds
228,Kondinskoye,59.6481,67.41,5.07,96,100,5.35,RU,2022-01-30 01:26:14,overcast clouds
229,Gyanpur,25.35,82.4667,51.75,68,0,8.37,IN,2022-01-30 01:26:14,clear sky
230,Harindanga,22.0383,88.3214,53.58,50,0,4.99,IN,2022-01-30 01:26:14,clear sky
231,Areka,7.0667,37.7,58.24,53,34,5.5,ET,2022-01-30 01:26:15,scattered clouds
232,Bermejo,-32.8833,-68.8,80.51,61,40,2.3,AR,2022-01-30 01:26:15,scattered clouds
233,Peleduy,59.6289,112.7406,-10.64,100,97,2.59,RU,2022-01-30 01:26:15,overcast clouds
234,Biaora,23.8667,76.9167,53.69,38,0,2.3,IN,2022-01-30 01:26:16,clear sky
235,Kita,13.0349,-9.4895,74.59,18,9,4.81,ML,2022-01-30 01:26:16,clear sky
236,Alice Springs,-23.7,133.8833,76.55,88,100,17.27,AU,2022-01-30 01:18:20,overcast clouds
237,Stornoway,58.2093,-6.3865,37.92,90,75,1.99,GB,2022-01-30 01:26:17,broken clouds
238,Karratha,-20.7377,116.8463,85.82,51,96,14.61,AU,2022-01-30 01:16:24,overcast clouds
239,Te Anau,-45.4167,167.7167,57.42,93,100,0.72,NZ,2022-01-30 01:14:51,light rain
240,Shenjiamen,29.9576,122.298,40.84,92,100,19.19,CN,2022-01-30 01:26:17,light rain
241,Katsuura,35.1333,140.3,49.19,57,92,16.69,JP,2022-01-30 01:26:18,overcast clouds
242,Nhulunbuy,-12.2333,136.7667,83.01,83,100,11.5,AU,2022-01-30 01:26:18,moderate rain
243,Payo,-3.7508,103.6372,75.87,93,99,0.22,ID,2022-01-30 01:18:51,light rain
244,Lake Wales,27.9014,-81.5859,42.94,54,0,4.61,US,2022-01-30 01:24:49,clear sky
245,Balkanabat,39.5108,54.3671,40.01,62,2,3.36,TM,2022-01-30 01:18:47,clear sky
246,Revda,56.801,59.9303,-13.99,98,100,1.52,RU,2022-01-30 01:26:19,overcast clouds
247,Upernavik,72.7868,-56.1549,-0.85,96,100,7.56,GL,2022-01-30 01:24:41,overcast clouds
248,Si Bun Ruang,16.9667,102.2833,77.59,43,7,1.99,TH,2022-01-30 01:26:19,clear sky
249,Mount Gambier,-37.8333,140.7667,69.71,73,100,8.05,AU,2022-01-30 01:24:41,overcast clouds
250,Bethel,41.3712,-73.414,18.3,56,100,3.0,US,2022-01-30 01:26:19,overcast clouds
251,Kangaatsiaq,68.3065,-53.4641,5.38,77,100,22.66,GL,2022-01-30 01:26:20,overcast clouds
252,Ostrovnoy,68.0531,39.5131,16.61,89,100,12.37,RU,2022-01-30 01:26:20,overcast clouds
253,Qeshm,26.9581,56.2719,58.89,64,0,7.09,IR,2022-01-30 01:26:20,clear sky
254,Yumen,40.2833,97.2,11.37,66,0,7.63,CN,2022-01-30 01:24:31,clear sky
255,Helong,42.5397,128.9972,16.07,56,1,8.34,CN,2022-01-30 01:26:21,clear sky
256,Havoysund,70.9963,24.6622,25.68,80,100,22.86,NO,2022-01-30 01:22:13,light snow
257,Esperance,-33.8667,121.9,82.24,49,2,9.01,AU,2022-01-30 01:26:21,clear sky
258,Caraquet,47.7941,-64.9386,15.35,92,100,29.35,CA,2022-01-30 01:26:22,snow
259,Poltavka,54.3663,71.7632,-4.74,94,100,7.14,RU,2022-01-30 01:26:22,overcast clouds
260,Siva,29.2041,25.5195,50.58,53,0,9.78,EG,2022-01-30 01:26:23,clear sky
